Proto-Slavic Word;Polish Word;Old Polish Word
Proto-Slavic Word;Polish Word;Old Polish Word
a;a;a
a-;;
abьje;;
ablo;;jabło
ablonь;jabłoń;
ablonьnъ;;
ablъko;jabłko;
-ačь;-acz;-acz
adati;;
adušivъ;;
aduxa;jaducha;
agnę;jagnię;
agnętina;jagnięcina;
agniti;jagnić się;
agnьcь;;
agoda;jagoda;
agolvo;;
ajatъ;;
aje;jajo;
ajina;;
ajitъ;;
-ajь;;
ajьce;jajce;
ajьčьjь;;
ajьčьna;;
ajьčьnica;jajecznica;
ajьčьnikъ;;
ajьčьnъ;jajeczny;
ajьko;jajko;
ajьno;;
ajьnъ;jajny;
-akъ;-ak;
ale;ale;ale
-aľь;-al;-al
ano;ano;ano
arębina;jarzębina;
arębъ;jarząb;
arьmo;jarzmo;jarzmo
-ařь;-arz;
asenь;jesion;
astrębъ;jastrząb;
aščerica;;jaszczerzyca
aščerъ;jaszczur;
aščerъka;jaszczurka;jaszczórka
-ati;;
-atъ;-aty;
aviti;jawić się;
avьnъ;jawny;
avorъ;jawór;
axati;achać;
axъ;ach;ach
axъkati;;
azь;jaź;
azьno;;
ba;ba;ba
baba;baba;baba
baba ęga;Baba Jaga;
babona;;
babonъ;zabobon;
babrati;babrać;
babunъ;;
babušьka;;
babъka;babka;babka
badati;badać;badać
badli;;
badlovati;;
badъ;;
bagati;zabagać;
bagno;bagno;bagno
bagra;;
bagrъ;;
bagy;;
bajačь;;
bajati;bajać;bajać
bajьka;bajka;
bakati;bakać;bakać
bala;;
balakati;bałakać;
balъka;bałka;
baňa;bania;bania
banъ;;
bara;bary;
baranъ;baran;baran
barьnъ;;
basnь;baśń;baśń
basъ;;
basъkъ;;
batę;;
batь;;
batogъ;batog;
batъ;bat;
baviti;bawić;bawić
bavьnъ;;
baxati;;
baxoriti;;
bazovъ;;
bazъ;bazia;
bažiti;;zábáżyć się
bebrъ;;
bedrьnikъ;;
bedrьnьcь;biedrzeniec;biedrzeniec
bedro;biodro;biodro
bekati;;
bel(e)niti;;
bel(e)nъ;bieluń;bleń
berďь;;
bergъ;brzeg;
bermę;brzemię;
bernъ;;
bersky;;
berstъ;brzost;
berťi;;
berza;brzoza;
berzьnъ;brzezień;
beržan(in)ъ;;
besěda;biesiada;biesiada
besědovati;biesiadować;
bez;bez;bez
bezbordъ;bezbrody;
bezčędьnъ;;
bezdětьnъ;bezdzietny;
bezdušьnъ;bezduszny;
bezdъna;bezdna;
bezimenьnъ;bezimienny;
